,cluster_id,x,y,z,sentence
93,16,-0.38167444,-0.0029216707,-5.934392,The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this
94,9,-1.2300534,0.6658775,-10.248953,"This city, the seat of Clark County, Nevada, has been called ""the entertainment capital of the world"""
95,0,5.835315,-7.7726407,11.248533,"Say <a href=""http://www.j-archive.com/media/2010-07-06_DJ_27.jpg"" target=""_blank"">this</a> state that was admitted to the Union in 1859"
96,1,-3.6824703,-5.1003265,-1.180875,This car company has been in the news for widespread recalls of its Corollas & other models
97,5,0.009804975,-7.212035,6.0298667,"As an adjective, it can mean proper; as a verb, ""to grade papers"""
98,11,10.566728,4.701809,-2.4298165,The wedge is an adaptation of the simple machine called the inclined this
99,19,-0.5508031,6.9134984,-4.4184356,"With a mighty leap of 5'1"", David Mosely set the U.S. 10 & under record in this event back in 1977"
100,0,7.5533237,-5.1949687,11.771499,"<a href=""http://www.j-archive.com/media/2010-07-06_DJ_14.jpg"" target=""_blank"">This dog breed seen here</a> is a loyal and protective companion"
101,0,3.836831,-5.74199,9.938294,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank"">this</a> bug; don't worry, it doesn't breathe fire"
102,0,6.686422,-6.8528395,10.640723,"(<a href=""http://www.j-archive.com/media/2010-07-06_DJ_21.wmv"">Jimmy of the Clue Crew demonstrates, putting his arm over his mouth.</a>) To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book"
103,5,-0.7091947,-6.275956,3.4059734,Maize is another word for this
104,10,-13.178587,4.315557,2.225036,"Of the 6 noble gases on the periodic table, it is the lightest"
105,4,1.8470081,-0.6587063,-6.6134315,11-year-old Ashlyn White won a 2009 U.S. youth title in this martial art in which you try to throw your opponent
106,18,8.264015,0.15202309,-0.15916836,"In 1751 the Penn Provincial Assembly placed the order for this symbol of freedom, now in Philadelphia"
107,0,3.836831,-5.74199,9.938294,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_29.jpg"" target=""_blank"">these</a> big trees; it has a color in it"
108,4,7.6788034,-3.4341843,-7.028571,"In a surprise, Ted Kennedy's old Senate seat in this state went to a Republican in a January 2010 election"
109,5,-0.9323952,-7.292599,4.3497334,"This word for someone who walks comes from the Latin for ""foot"""
110,10,-12.9928,1.9368072,-1.7655671,Lava & igneous rock are formed from this hot liquid rock material found under the earth's crust
111,11,0.8323383,-1.4149979,-6.842105,This sport has an under-17 World Cup every 2 years; Haris Seferovic starred for the 2009 champion Switzerland
112,4,3.9654942,-0.7188728,7.7490177,He's the older son of Prince Charles and the late Princess Diana
113,0,3.836831,-5.74199,9.938294,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_30.jpg"" target=""_blank"">this</a> man you see shaking hands with the Premier of China"
114,1,-1.6329565,1.6039801,-2.6539748,"Falcon Heene, who it turned out was safe at home, not flying over Colorado, became known as this ""boy"""
115,5,-3.5451725,-2.8136277,7.3277593,"Kayak is an example of this, a word that reads the same forwards & backwards"
116,18,10.662149,-1.2028086,3.6914353,"She was born in Virginia around 1596 & died in Kent, England in 1617"
117,4,3.9435358,2.8656235,7.5509152,"Prime Minister Tony Blair dubbed her ""The People's Princess"""
118,12,3.6161506,6.3742867,1.248417,"Once Tommy Mullaney on ""L.A. Law"", John Spencer now plays White House chief of staff Leo McGarry on this series"
119,16,-1.4411572,2.9586022,-6.804771,The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland
120,19,1.8203226,6.386624,-3.2890127,This punk rock hitmaker heard here has had numerous hits on both sides of the Atlantic
121,2,6.0986524,-5.308184,0.13379782,"""Conrad begins (and ends) Marlow's journey... on the Thames, on the yawl, Nellie"", says the foreword to this novel"
122,11,-2.4112184,0.05126791,1.3583207,We'll look smart in these vehicles that returned to London in 1999
123,1,1.3175,4.733288,7.194052,"She was ""The Untamed Heifer"" & ""The Virgin Queen"""
124,12,3.5624228,6.7843995,0.8394764,"Barbra Streisand knows he played Lt. Col. Bill ""Raider"" Kelly on ""Pensacola: Wings of Gold"""
125,16,-2.4065652,-1.0880907,-5.40604,"The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city"
126,1,3.9627516,-5.753783,2.3799565,"Czar at 17, he was famous for extraordinary sadism & cruelty, even as a boy"
127,2,5.322059,1.8426272,0.10337144,"Part 2 ""is Lilliput in reverse, but...also offers some of"" his ""fiercest assaults upon the behavior of"" his countrymen"
128,3,-0.3429807,4.4815526,-0.8297815,Ed leaves pools of water on the carpet when he comes in from sailing this boat
129,15,3.9614558,2.8088288,7.47372,"Mark Antony called her ""The Queen of Queens"""
130,12,4.0675764,6.8679566,-0.32634467,"(Hi, I'm Wallace Langham)  I played Don Kirshner in VH1's TV movie about this quartet who sang ""Daydream Believer"""
131,1,-1.5930876,0.6413631,1.932212,We're not stringing you along: this capital of the Czech Republic is famous for its puppet theatres
132,12,-0.71771395,7.982325,4.340479,"Nudge, nudge, wink, wink!  This man seen here starred on a classic British comedy show"
133,2,3.040787,-1.7705313,1.5980827,"She said that her husband Frank O'Connor was the fuel that kept her spirited while she wrote ""The Fountainhead"""
134,3,-6.18729,-0.78728795,5.484556,You'd be naive to think you can make bottled water that's more popular than this
135,1,1.1286328,2.254977,3.856185,"The 19th century's ""Widow of Windsor"""
136,1,-1.4348084,3.770282,0.115599796,"Teri Hatcher looked ""shipshape"" as one of the singing ""mermaids"" who jumped on board this cruisin' series in 1985"
137,9,-4.737908,4.53047,-12.682736,Jomo Kenyatta International Airport serves this world capital
138,2,4.600995,-4.063279,4.896305,His is the first & longest book of the Bible's major prophets
139,2,5.631896,0.7428866,2.2547114,"One edition calls this Darwin opus one of ""the most readable and approachable"" of revolutionary scientific works"
140,2,8.125097,-5.840189,1.4118619,"Aye, lass, I'll wed thee ere this has dried on the fields"
141,15,7.573514,-1.0495512,4.6325555,"""The Catholic"" of 15th century Spain"
142,12,2.3233786,6.8025846,-0.5522013,"On ""Saturday Night Live"", he's famous for playing Craig the Cheerleader, Janet Reno & moi"
143,11,7.636965,0.38147375,4.7190843,"Andrea Palladio's 1554 book on ""The Antiquities of"" this city was the standard guidebook for some 200 years"
144,1,-3.8371708,-5.6865425,-1.9561616,This auto exec's autobiography is one of the bestselling nonfiction works in publishing history
145,3,-5.8906784,-0.5879206,5.7279816,"You know so much about policy, you qualify as this"
146,18,9.73694,-0.5142123,1.6806918,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699"
147,5,-3.0096147,-6.1079183,5.5024204,"SFX is the standard abbreviation for these, from the rustling of trees to cannon fire"
148,14,-8.828278,-5.6430883,-4.7609825,Saint-Pierre & Miquelon
149,4,-0.6397703,-1.0210134,-0.34811035,"Designer Vivienne Westwood ran a shop with Malcolm McLaren, who launched this Johnny Rotten band"
150,11,1.9452609,0.8361411,11.05837,"Because he had the same thing for lunch every day for 20 years, Andy Warhol painted these, beginning in 1962"
151,8,0.3954675,10.239327,-1.2332679,"Lerner & Loewe's ""Lusty Month"" (3)"
152,11,2.3207664,-0.90283626,-3.209834,This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly
153,3,-3.4270847,-1.5061418,9.360201,"Term for the flow of a film, maintained by keeping details consistent throughout a scene"
154,14,-9.321778,-4.979124,-4.7328887,Montserrat
155,16,-2.2268143,-1.4904145,-6.5955315,Star designer John Galliano was born Juan Carlos Galliano in this British possession at the tip of Spain
156,11,2.0056157,1.028539,10.991984,"Warhol went against his Capitalist tendencies with his portrait of this man, seen here"
157,8,-0.13132712,10.231954,-1.9029883,"Patrick Dennis' ""Auntie"" (4)"
158,16,4.616791,-2.9742317,-9.599421,First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster
159,1,-0.1694563,3.141401,-1.8560045,"Garland Jeffreys sang of having star-studded ""dreams"" of this size, like movie film"
160,14,-9.574071,-4.4549065,-5.8243265,Cook Islands
161,1,-0.5427589,-0.8862895,0.036064006,"Katharine Hamnett created the '80s T-shirt telling us to ""choose"" this"
162,1,0.6085505,0.27536795,-1.579827,"Andy's ""15 minutes of fame"" quote was once the motto of this magazine"
163,8,1.4606506,10.591738,-3.2174358,"It ""Becomes Electra"" (8)"
164,18,1.7173883,-2.148813,-9.631416,This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis
165,11,-6.716768,-5.8157024,-0.875605,The inventors of this camera-stabilizing device won a special 1977 Oscar
166,14,-9.5424,-4.545997,-5.6162176,Madeira Islands
167,1,0.22219065,-1.4859776,-2.0054617,Andy's loft on East 47th Street got this nickname from its former use & Andy's mass-production techniques
168,8,-2.743243,9.503594,-1.1441209,Colchian jilted by Jason (5)
169,18,8.981433,1.4986567,-0.061302733,"In 1801 this onetime VP compiled ""A Manual of Parliamentary Practice"" still used in the U.S. Senate"
170,2,-1.2433544,5.674513,1.2920437,"Near the end of the credits comes the ""cutter"" of this, the exposed but unfinished film"
171,14,-9.5831175,-4.4174314,-5.8794503,Northern Mariana Islands
172,19,2.8780427,5.2052913,-5.692514,Warhol became the manager of this Lou Reed rock group in 1965 & produced their first album
173,8,-2.4203844,9.279252,-2.0649855,Faust's fiendish foe (14)
174,6,2.289043,0.48000163,-4.330153,"If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract"
175,7,-7.6190395,-0.7572412,3.5218768,"This white, glossy coating on your teeth is the hardest substance in the human body"
176,18,7.3035316,0.6368563,-0.5720569,"This bovine took the rap for the disastrous fire of October 8, 1871"
177,16,-7.1150355,-4.9260015,6.404891,It's the kingdom whose flag is seen here (Union Jack)
178,4,1.1722162,2.3993566,-6.053881,Minoru Yamasaki reached new heights with this New York City complex
179,12,3.1141212,5.395863,1.9038463,Quentin Tarantino directed this film & also had a bit role as Jimmy of Toluca Lake
180,3,-9.185348,2.3367426,5.8693237,"A student, or a minor in Roman law"
181,10,-12.783716,3.2234652,1.4286735,The time it takes for 50% of the atoms to decay in a radioactive substance is called this
182,9,-4.048649,2.8417318,-6.77091,"At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest"
183,16,-7.789388,-5.0930457,6.8502035,Seen here is the flag of this nation (the home of Bollywood)
184,16,-3.0683775,-1.8083954,-8.137732,"William Pereira erected his Transamerica ""Pyramid"" in this city"
185,12,4.022817,6.830966,2.629194,"As mad bomber Howard Payne in this film, Dennis Hopper planted a bomb on an L.A. area transit bus"
186,3,-7.2963037,5.6150513,1.8008354,A blow with a whip
187,10,-12.1262665,4.647044,-2.6515906,"While compounds of this element are added to table salt, in its pure form it's quite poisonous"
188,2,7.385087,-5.7882175,3.9934623,"While one creation slept, God took this to make Eve"
189,16,-7.5857086,-5.0026917,6.709959,Andy Garcia is a native of this country whose flag is seen here
190,4,1.4799048,0.67375576,-8.919483,"Charles Bulfinch, who contributed to the Capitol in Washington, D.C., designed this city's state house on Beacon Hill"
191,12,1.3841473,6.125234,3.679385,"Jean Vander Pyl, who played Wilma in the original cartoon series, played Mrs. Feldspar in this movie adaptation"
192,3,-8.154344,2.416172,2.814288,A hollow area that holds a light bulb
193,10,-12.355197,5.229415,2.2663956,"The ""super"" class of these stars, the largest known, includes Antares & Betelgeuse"
194,9,-2.754519,3.539935,-9.312459,You'll find this triangular island about 4 miles off the southeast coast of Massachusetts
195,16,-3.1432483,-2.6789138,-6.1380696,"In the 1990s, this nation whose flag is seen here moved its seat of government to a different city"
196,4,1.4669819,0.78181493,-8.651716,Dallas-Fort Worth Airport architect Gyo Obata helped design this Smithsonian museum
197,12,-0.25409725,5.2048707,-3.6595652,"Containing the hit ""Can You Feel The Love Tonight"", it was Disney's first animated feature not based on an existing story"
198,3,0.08707534,-2.3574083,5.41806,Flower seen here (that fits the category)
199,10,-13.439642,0.9881696,1.2745948,"On the pH scale, a pH of 7 indicates this type of solution"
200,2,7.003249,-5.845988,4.5106936,"In Exodus, this was thrown down before Pharaoh at Moses' instruction"
201,16,-7.139835,-4.7755914,6.3414783,"This Mediterranean country whose flag is seen here is ""The Word"""
202,16,3.2159,-1.4920517,-4.7914286,Louis Skidmore designed the secret atomic site that became this Tennessee town
203,12,4.669202,5.2480364,2.875761,"In this film Martin Scorsese says the TV audience wants ""To  watch the money"""
204,1,-2.3235693,2.0181859,5.135166,People say these are what you need to make it in Hollywood
205,16,-5.5748076,1.0714836,-4.1726537,"4 different species of bears live in Alaska:  Kodiak, grizzly, black & this"
206,11,1.6349983,0.19118789,-3.9503658,Nike's stock fell when this basketball player announced his retirement in January 1999
207,2,4.273159,2.4277694,5.4755144,"In Euripides' play about this famed beauty, it's her double who goes to Troy"
208,12,1.1851267,2.9692814,-5.223181,In 1996 John Travolta spread his wings as this archangel
209,18,-1.0525239,-4.4040127,-4.652293,"Porfirio Diaz seized power in this country in 1876, ruled for 35 years, fled in 1911 & died in exile"
210,5,0.18463446,-6.3544116,6.6059375,"This term for a fluid can also mean ""to sign"" as a contract"
211,11,1.1744239,-4.66994,-9.036675,"Tony Knowles is pulling in $81,648 per annum in this job"
212,4,0.53294986,-2.1016207,-7.213948,Ronaldo Luiz Nazario de Lima began playing this sport for Brazil's national team at age 17
213,12,4.1471033,3.5317214,5.254205,"In a Shaw play, Caesar finds her hiding on a Sphinx"
214,2,6.444164,-4.7589335,1.8866782,"In Book III of ""Paradise Lost"", the angels play these, which are ""golden"" & ""ever-tuned"""
215,11,5.6064606,5.5931497,8.104002,In 1462 this printer known for movable type had to move out of Mainz
216,16,2.90266,-1.7966233,10.87525,Style of the 1877 painting seen here
217,16,-0.40708235,2.8465323,-11.179378,This second-largest Alaskan city wasn't named for an actor
218,1,-1.1949683,-8.196265,-4.960275,Vladimir Samsonov is touted as Europe's only hope against China in this game
219,12,1.5285481,1.9129939,2.8162227,"A 1952 play covered the young life of this queen, like a 1998 Cate Blanchett film"
220,19,2.828265,6.8586907,-4.374151,"ABBA sang about these & Curtis Lee sang about ""Pretty Little"" these"
221,15,7.013701,-0.062483087,8.885304,"Exiled for manslaughter, Eric the Red was forced to leave this country around 981"
222,5,-0.86375856,-6.207281,4.4947977,"Arabic for ""son of"", it comes before names like Saud"
223,16,-5.5004954,-6.481377,6.9101105,One of the 3 mottos that have been featured on regular Alaskan license plates
224,1,1.1860456,-4.7540193,-9.078021,"The Times of London estimates this chess player is taking home $20 mil. a year; that's some check, mate!"
225,17,0.068767205,2.2403486,1.3315356,In 1935 & '36 Helen Hayes reigned for 517 Broadway performances as this queen who reigned for 63 years
226,16,0.7355982,-2.971198,-2.9985275,"Group whose feast day is October 2, or a group founded in 1979 by Curtis Sliwa"
227,18,7.503024,-3.4650788,3.7638245,David Ben-Gurion went to the U.S. in 1915 when this empire exiled Zionists from Palestine
228,5,-1.3402833,-7.1881166,5.432316,"From the Latin for ""to overhang"", it means ""likely to happen at any moment"""
229,9,-2.461938,4.8872976,-10.175102,The mainland peninsula closest to Russia is named for this man
230,16,0.3822527,-1.4231908,-6.982235,New Zealand-born Jonah Lamu is tops on the pitch of this sport
231,2,3.3759859,2.198958,5.1819034,"The queen in Marlowe's ""Edward II"" is named this, like a famous queen of Spain"
232,2,0.16395248,4.4301586,1.7087609,"With an appropriate-sounding name, John Dye plays the angel of this on ""Touched By An Angel"""
233,4,-4.670144,4.6291394,-13.473289,Moshoeshoe II was exiled twice before regaining this southern African country's throne in 1995
234,10,-11.613014,4.267738,1.0277293,"Some scientists believe that the universe is undergoing expansion called this, also an economic term"
235,9,-3.064633,1.9134198,-12.571218,"Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries"
236,18,7.936979,-2.859136,-4.209753,"His first act after being sworn in as president of the Confederacy was to send a peace commission to Washington, D.C."
237,4,3.1879945,0.053500433,-1.9701817,"On Sept. 14, 2005 she gave birth to Sean Preston Federline"
238,5,-2.1438625,-5.219445,3.915104,"Yeah, baby!  Meaning ""magnificent"", this Texas-sounding name comes with certain ""Powers"""
239,3,-3.8016024,-2.064247,8.143385,;-) Ocular act that sends a signal
240,16,-3.1594021,-2.5906496,-6.649861,The Alamo is located in this city & is depicted on its flag
241,3,-3.3156528,2.5215688,2.8120215,"Numerically speaking, read up on ""Fun Stuff"", ""Fashion"", ""Health"" & ""Stars"" at this magazine.com"
242,18,8.541708,-2.4794621,-2.815303,"Tired of eating mule jerky, Vicksburg fell in July 1863 after a 6-week one of these military tactics"
243,12,1.0340617,6.3002443,1.1203637,"The TV show ""Everybody Hates Chris"" is based on the childhood of this comic"
244,5,-3.6748862,-4.7706213,4.5269585,This name shared by great & terrible rulers is a Russian variation of John
245,3,-3.9288576,-1.6897064,5.526695,":-$ It's where this emoticon tells you to ""put your money"""
246,18,-5.5733223,-6.7644625,4.972381,This descriptive nickname of the U.S. flag was coined by Francis Scott Key
247,3,-4.136567,-0.7322083,5.174031,"If you're triskaidekaphobic, you're afraid of this number, & not just on a Friday"
248,18,9.662288,-1.7795339,-3.0849738,Robert E. Lee saved this capital from capture with his June 1862 attack on McClellan's forces
249,1,0.31163585,7.5003657,0.1913816,He auditioned for & won the part of Ron Weasley with a rap that he wrote
